transaction_id,property_id,buyer_entity_id,buyer_name,buyer_type,buyer_pan_hash,buyer_incorporation_age_days,seller_entity_id,seller_name,seller_pan_hash,fair_value,declared_value,cash_component_pct,holding_period_days,financing_type,is_ring_txn,aml_flag,pattern_types,buyer_txn_count,undervaluation_pct,value_deviation_pct,is_rapid_flip,is_shell_pattern,anomaly_score,in_detected_ring
700016,100016,8430,Rohan Nair,Individual,PAN008430,,1871,Karan Desai,PAN001871,43035408.0,57473474.0,2.3,19,Bank Loan,0,1,rapid_flip,1,-33.54927179963067,33.54927179963067,1,0,0.5542805437024869,0
700017,100017,7730,Ajay Kulkarni,Individual,PAN007730,,26285,Rahul Menon,PAN026285,27191444.0,27041110.0,0.5,2361,Bank Loan,0,1,none,1,0.5528724403161523,-0.5528724403161523,0,0,0.3851903292429616,0
700018,100018,11561,Vertex Realty Pvt Ltd,Pvt Ltd Company,PAN011561,3315.0,19246,Pinnacle Ventures Pvt Ltd,PAN019246,20026665.0,21199212.0,3.3,1435,Self-funded,0,0,none,1,-5.854928916022713,5.854928916022713,0,0,0.45503873559478575,0
700019,100019,5629,Divya Joshi,Individual,PAN005629,,8645,Novus Infra LLP,PAN008645,73376891.0,73353890.0,3.0,1976,Bank Loan,0,0,none,1,0.0313463812469241,-0.0313463812469241,0,0,0.37096408744884257,0
700020,100020,1912,Priya Iyer,Individual,PAN001912,,22675,Orbis Consultancy LLP,PAN022675,15248920.0,15122706.0,8.4,885,Bank Loan,0,0,none,1,0.827691403719083,-0.827691403719083,0,0,0.4147030317084754,0
700021,100021,31551,Amit Patel,Individual,PAN031551,,32226,Cascade Enterprises LLP,PAN032226,52023006.0,53898417.0,0.0,2371,NBFC Loan,0,0,none,1,-3.604964695811695,3.604964695811695,0,0,0.4228809234042673,0
700022,100022,22823,Crestline Realty Pvt Ltd,Partnership Firm,PAN022823,2739.0,14372,Rahul Sharma,PAN014372,43320998.0,42323777.0,2.7,2549,Bank Loan,0,0,none,1,2.3019345029862888,-2.3019345029862888,0,0,0.4092850869253661,0
700023,100023,14011,Ajay Kulkarni,Individual,PAN014011,,25640,Meridian Ventures Pvt Ltd,PAN025640,39294693.0,39135198.0,1.3,1035,Mixed,0,0,none,1,0.4058945059069427,-0.4058945059069427,0,0,0.3980721869194059,0
700024,100024,142,Suresh Menon,Individual,PAN000142,,9223,Pooja Sharma,PAN009223,33857368.0,32980966.0,2.8,3284,Bank Loan,0,0,none,1,2.5885119008660094,-2.5885119008660094,0,0,0.3848776844875049,0
700025,100025,25420,Vikram Desai,Individual,PAN025420,,26188,Sneha Kulkarni,PAN026188,25785164.0,25493804.0,4.0,1716,Self-funded,0,0,none,1,1.1299520918307908,-1.1299520918307908,0,0,0.40298665446623083,0
700026,100026,21607,Rahul Singh,Individual,PAN021607,,13980,Amit Joshi,PAN013980,29075327.0,28199927.0,1.4,3790,Self-funded,0,0,none,1,3.0108001880769906,-3.0108001880769906,0,0,0.43996905259990515,0
700027,100027,29215,Orbis Trading LLP,LLP,PAN029215,3024.0,6476,Sneha Patel,PAN006476,31249240.0,29422489.0,0.0,3189,Bank Loan,0,0,none,1,5.845745368527363,-5.845745368527363,0,0,0.4342324919877542,0
700028,100028,20305,Suresh Joshi,Individual,PAN020305,,17073,Meridian Infra LLP,PAN017073,51797412.0,51818598.0,2.9,46,Bank Loan,0,0,none,1,-0.0409016574032694,0.0409016574032694,1,0,0.4747383262171749,0
700029,100029,10,Pooja Pillai,Individual,PAN000010,,28954,Neha Kulkarni,PAN028954,73100166.0,74372915.0,3.1,2464,NBFC Loan,0,0,none,1,-1.741102749342594,1.741102749342594,0,0,0.40329351494904164,0
700030,100030,21022,Amit Singh,Individual,PAN021022,,25854,Priya Nair,PAN025854,195767728.0,186637424.0,5.3,543,Bank Loan,0,1,none,1,4.663845309580341,-4.663845309580341,0,0,0.40079348931027325,0
700031,100031,19570,Vikram Reddy,Individual,PAN019570,,8737,Amit Kulkarni,PAN008737,64855528.0,63091166.0,2.9,875,NBFC Loan,0,0,none,1,2.720449673927564,-2.720449673927564,0,0,0.40963161971105755,0
700032,100032,16260,Priya Verma,NRI Individual,PAN016260,3704.0,10178,Vertex Trading LLP,PAN010178,37399182.0,39535018.0,3.9,531,Bank Loan,0,0,none,2,-5.71091635105816,5.71091635105816,0,0,0.4660574745284241,0
700033,100033,34011,Pinnacle Consultancy LLP,LLP,PAN034011,46.0,34015,Crestline Realty Pvt Ltd,PAN034015,71972364.0,53329922.0,35.5,114,Bank Loan,1,1,circular_ring,25,25.90222269203218,-25.90222269203218,1,1,0.6618859083599914,1
700034,100034,22544,Karan Desai,Individual,PAN022544,,26052,Rahul Gupta,PAN026052,119678895.0,128970256.0,2.3,2257,Bank Loan,0,0,none,1,-7.763575190095128,7.763575190095128,0,0,0.4059287554446539,0
700035,100035,24054,Pooja Verma,Individual,PAN024054,,31332,Anjali Patel,PAN031332,123498417.0,117083770.0,1.8,590,Mixed,0,0,none,1,5.194112731015816,-5.194112731015816,0,0,0.4185495915810427,0
700036,100036,29470,Anjali Nair,Individual,PAN029470,,18048,Pooja Gupta,PAN018048,55128901.0,54746536.0,6.4,1371,Self-funded,0,0,none,1,0.6935835706211521,-0.6935835706211521,0,0,0.4186617921545458,0
700037,100037,7697,Arjun Singh,Individual,PAN007697,,20047,Amit Reddy,PAN020047,57764633.0,55930345.0,2.3,3294,NBFC Loan,0,0,none,1,3.1754516643427824,-3.1754516643427824,0,0,0.4136208855226219,0
700038,100038,6077,Pinnacle Consultancy Pvt Ltd,Partnership Firm,PAN006077,3849.0,33647,Amit Singh,PAN033647,57794590.0,58993119.0,3.4,2154,Bank Loan,0,0,none,2,-2.073773687121926,2.073773687121926,0,0,0.44282392915868896,0
700039,100039,20119,Zenith Consultancy LLP,LLP,PAN020119,3033.0,26257,Arjun Rao,PAN026257,130462566.0,130120858.0,0.0,85,Mixed,0,0,none,1,0.26192034272881,-0.26192034272881,1,0,0.5382275759445088,0
700040,100040,33642,Pooja Joshi,Individual,PAN033642,,21049,Rahul Pillai,PAN021049,56080995.0,58072745.0,3.8,2029,Self-funded,0,0,none,3,-3.551559668297612,3.551559668297612,0,0,0.4700077461311977,0
700041,100041,12019,Sneha Iyer,Individual,PAN012019,,24328,Novus Consultancy Pvt Ltd,PAN024328,60782639.0,63545004.0,4.4,53,Self-funded,0,0,none,1,-4.544661181953616,4.544661181953616,1,0,0.5281612678196409,0
700042,100042,4222,Meera Desai,Individual,PAN004222,,16147,Amit Sharma,PAN016147,145838544.0,141825031.0,0.4,3548,Self-funded,0,0,none,2,2.752024869365125,-2.752024869365125,0,0,0.4772534788361536,0
700043,100043,16901,Divya Verma,Individual,PAN016901,,32858,Sunrise Trading LLP,PAN032858,19863457.0,19155958.0,9.0,2312,Bank Loan,0,0,none,1,3.561812024966248,-3.561812024966248,0,0,0.4135845225398488,0
700044,100044,24748,Amit Pillai,Individual,PAN024748,,2528,Sneha Menon,PAN002528,37871003.0,38101487.0,3.9,1313,NBFC Loan,0,0,none,1,-0.6086028405426707,0.6086028405426707,0,0,0.4000449197040725,0
700045,100045,1825,Karan Verma,Individual,PAN001825,,32610,Zenith Infra LLP,PAN032610,37124349.0,36322440.0,1.7,3148,NBFC Loan,0,0,none,1,2.160062119877173,-2.160062119877173,0,0,0.4086685364911603,0
700046,100046,28752,Priya Iyer,Individual,PAN028752,,24205,Pinnacle Realty LLP,PAN024205,101715806.0,90231282.0,4.3,2725,Self-funded,0,0,none,2,11.290795847402515,-11.290795847402515,0,0,0.47348686997736367,0
700047,100047,17864,Suresh Pillai,Individual,PAN017864,,15758,Divya Reddy,PAN015758,41367222.0,43030392.0,2.2,2286,Bank Loan,0,0,none,1,-4.020502029360347,4.020502029360347,0,0,0.3832840698165421,0
700048,100048,27741,Neha Verma,Individual,PAN027741,,13174,Cascade Realty LLP,PAN013174,30336775.0,32144288.0,4.5,477,Bank Loan,0,0,none,1,-5.958158044155979,5.958158044155979,0,0,0.41278303301899744,0
700049,100049,27039,Sunrise Holdings Pvt Ltd,Pvt Ltd Company,PAN027039,83.0,12083,Zenith Infra Pvt Ltd,PAN012083,116458460.0,115990326.0,3.8,2915,Bank Loan,0,1,shell_entity_buyer,1,0.4019750905172539,-0.4019750905172539,0,1,0.5531119514391276,0
700050,100050,20842,Meera Pillai,Individual,PAN020842,,15721,Sneha Desai,PAN015721,48600095.0,51058901.0,0.6,1488,NBFC Loan,0,0,none,2,-5.059261715434919,5.059261715434919,0,0,0.44315402266039555,0
700051,100051,22052,Vikram Iyer,Individual,PAN022052,,13897,Sunrise Infra LLP,PAN013897,45276121.0,45049329.0,4.6,3935,Bank Loan,0,0,none,1,0.5009086357022502,-0.5009086357022502,0,0,0.41506379782222685,0
700052,100052,17495,Orbis Enterprises Pvt Ltd,Pvt Ltd Company,PAN017495,3579.0,18998,Novus Infra LLP,PAN018998,95609242.0,93377040.0,0.8,1973,Self-funded,0,1,none,1,2.334713625279029,-2.334713625279029,0,0,0.4532767224838074,0
700053,100053,7259,Anjali Desai,Individual,PAN007259,,30886,Arjun Sharma,PAN030886,94536258.0,93999997.0,3.5,655,Bank Loan,0,0,none,1,0.5672543120968465,-0.5672543120968465,0,0,0.38726272744828455,0
700054,100054,5036,Pinnacle Enterprises Pvt Ltd,LLP,PAN005036,819.0,23326,Vertex Consultancy Pvt Ltd,PAN023326,19164848.0,19297642.0,3.8,1602,Bank Loan,0,0,none,2,-0.6929040084220861,0.6929040084220861,0,0,0.42509244191574413,0
700055,100055,12015,Anjali Sharma,Individual,PAN012015,,29027,Alpine Infra Pvt Ltd,PAN029027,22578996.0,22941075.0,2.3,1472,Bank Loan,0,0,none,1,-1.603609832784416,1.603609832784416,0,0,0.37437873820168505,0
700056,100056,9941,Orbis Realty Pvt Ltd,Pvt Ltd Company,PAN009941,2705.0,5399,Orbis Realty LLP,PAN005399,20846945.0,20801691.0,0.0,3382,Bank Loan,0,0,none,1,0.2170773703293216,-0.2170773703293216,0,0,0.4527167622351253,0
700057,100057,30814,Meera Desai,Individual,PAN030814,,7410,Rahul Iyer,PAN007410,14425974.0,13863835.0,4.2,698,Self-funded,0,0,none,1,3.896714357034056,-3.896714357034056,0,0,0.42188332946106855,0
700058,100058,21999,Rohan Desai,Individual,PAN021999,,33092,Zenith Trading LLP,PAN033092,24619991.0,23913797.0,4.0,2689,Mixed,0,0,none,1,2.868376353183882,-2.868376353183882,0,0,0.39427836857837956,0
700059,100059,15029,Neha Verma,Individual,PAN015029,,10121,Meera Desai,PAN010121,20253487.0,18846862.0,0.5,466,Bank Loan,0,0,none,2,6.945100367161467,-6.945100367161467,0,0,0.4614288268502102,0
700060,100060,28679,Ajay Singh,Individual,PAN028679,,3914,Suresh Joshi,PAN003914,51315900.0,54059688.0,2.8,2544,Bank Loan,0,0,none,1,-5.346857406768662,5.346857406768662,0,0,0.3856728193451074,0
700061,100061,12139,Pooja Kulkarni,Individual,PAN012139,,33200,Amit Verma,PAN033200,36907464.0,39142098.0,4.1,601,Self-funded,0,0,none,2,-6.054693977348322,6.054693977348322,0,0,0.4680741120376142,0
700062,100062,16963,Neha Menon,Individual,PAN016963,,7463,Suresh Gupta,PAN007463,26482802.0,28719847.0,2.4,3078,Self-funded,0,0,none,1,-8.447161293582152,8.447161293582152,0,0,0.4512744706661099,0
700063,100063,22201,Zenith Trading Pvt Ltd,LLP,PAN022201,588.0,28878,Priya Rao,PAN028878,30548687.0,28842297.0,4.0,3674,Self-funded,0,0,none,1,5.585804718873842,-5.585804718873842,0,0,0.4568268627208234,0
700064,100064,34014,Pinnacle Trading Pvt Ltd,LLP,PAN034014,44.0,34011,Pinnacle Consultancy LLP,PAN034011,75820173.0,50816857.0,47.9,101,Bank Loan,1,1,circular_ring,31,32.97712865941364,-32.97712865941364,1,1,0.6840899070496127,1
700065,100065,8265,Rohan Iyer,Individual,PAN008265,,16397,Ajay Rao,PAN016397,39022536.0,41129848.0,0.6,2761,Bank Loan,0,0,none,2,-5.400243592574301,5.400243592574301,0,0,0.4383544273053924,0
700066,100066,21346,Neha Desai,NRI Individual,PAN021346,1457.0,25893,Kavya Sharma,PAN025893,63334358.0,67693848.0,4.5,518,Self-funded,0,0,none,1,-6.883293898708185,6.883293898708185,0,0,0.46873012180963924,0
700067,100067,16463,Priya Gupta,Individual,PAN016463,,13671,Novus Infra LLP,PAN013671,9085091.0,9012837.0,2.7,3657,Bank Loan,0,0,none,1,0.7953029859579833,-0.7953029859579833,0,0,0.3989025658655836,0
700068,100068,28985,Rohan Menon,Individual,PAN028985,,28449,Zenith Ventures Pvt Ltd,PAN028449,10292741.0,10250829.0,4.8,3686,Mixed,0,0,none,2,0.4071995982411294,-0.4071995982411294,0,0,0.4460006407738158,0
700069,100069,19097,Neha Rao,Individual,PAN019097,,5813,Kavya Desai,PAN005813,23995236.0,19649691.0,3.7,47,NBFC Loan,0,1,undervaluation,1,18.11003234141977,-18.11003234141977,1,0,0.539368142191047,0
700070,100070,29354,Alpine Trading Pvt Ltd,LLP,PAN029354,2022.0,11634,Pooja Kulkarni,PAN011634,133639381.0,137822464.0,1.0,3586,Bank Loan,0,0,none,2,-3.13012748839356,3.13012748839356,0,0,0.4628174529317491,0
700071,100071,11189,Rohan Singh,NRI Individual,PAN011189,3848.0,4366,Alpine Realty LLP,PAN004366,12793295.0,12825659.0,6.3,2106,Bank Loan,0,0,none,1,-0.2529762660831318,0.2529762660831318,0,0,0.41565126116557005,0
700072,100072,5462,Kavya Pillai,Individual,PAN005462,,760,Pooja Menon,PAN000760,29705426.0,28950318.0,1.9,15,NBFC Loan,0,0,none,2,2.5419867737294863,-2.5419867737294863,1,0,0.5441077215925547,0
700073,100073,12498,Ajay Reddy,Individual,PAN012498,,31770,Vikram Singh,PAN031770,16116256.0,16428003.0,0.8,1759,Mixed,0,0,none,1,-1.934363663620136,1.934363663620136,0,0,0.3982866148433304,0
700074,100074,1700,Karan Nair,Individual,PAN001700,,26382,Novus Trading Pvt Ltd,PAN026382,230692362.0,226959865.0,1.7,425,Bank Loan,0,0,none,1,1.6179543040094235,-1.6179543040094235,0,0,0.40486902141663117,0
700075,100075,15192,Orbis Holdings LLP,Pvt Ltd Company,PAN015192,2986.0,17383,Summit Trading LLP,PAN017383,47959905.0,44594076.0,3.4,3761,Mixed,0,0,none,1,7.018005978118596,-7.018005978118596,0,0,0.4723999304953411,0
700076,100076,22647,Pooja Kulkarni,Individual,PAN022647,,10892,Priya Rao,PAN010892,43703472.0,42349609.0,2.0,1687,Bank Loan,0,0,none,1,3.0978385424389168,-3.0978385424389168,0,0,0.37917220606961527,0
700077,100077,2686,Rahul Gupta,Individual,PAN002686,,3858,Suresh Verma,PAN003858,15260294.0,14642185.0,4.8,20,Mixed,0,0,none,1,4.05043965732246,-4.05043965732246,1,0,0.5131683338879299,0
700078,100078,2833,Rahul Desai,Individual,PAN002833,,25380,Neha Desai,PAN025380,29501860.0,27118242.0,4.0,3822,Bank Loan,0,0,none,2,8.07955159437405,-8.07955159437405,0,0,0.46405408566709233,0
700079,100079,23356,Kavya Gupta,Individual,PAN023356,,23115,Suresh Verma,PAN023115,71312884.0,73205474.0,3.7,3493,Bank Loan,0,0,none,1,-2.653924359586972,2.653924359586972,0,0,0.39923243837900535,0
700080,100080,21960,Alpine Infra Pvt Ltd,Pvt Ltd Company,PAN021960,3982.0,21723,Orbis Infra Pvt Ltd,PAN021723,36780721.0,38326530.0,4.5,1273,Mixed,0,0,none,1,-4.202769706444852,4.202769706444852,0,0,0.44794853505746435,0
700081,100081,30854,Divya Nair,Individual,PAN030854,,9277,Rohan Gupta,PAN009277,79656188.0,88612539.0,0.0,1348,Bank Loan,0,1,none,1,-11.243760497301226,11.243760497301226,0,0,0.43804206819862196,0
700082,100082,32048,Amit Joshi,NRI Individual,PAN032048,3781.0,5130,Sneha Kulkarni,PAN005130,68012605.0,70344328.0,3.3,87,NBFC Loan,0,0,none,1,-3.428368903087891,3.428368903087891,1,0,0.5383005353605689,0
700083,100083,29549,Arjun Sharma,Individual,PAN029549,,1029,Pooja Singh,PAN001029,39224302.0,38543503.0,4.1,2370,Bank Loan,0,0,none,1,1.7356561246137665,-1.7356561246137665,0,0,0.37131267798110473,0
700084,100084,17999,Zenith Realty Pvt Ltd,Trust,PAN017999,3279.0,2994,Amit Singh,PAN002994,51030247.0,47838254.0,4.7,3056,Bank Loan,0,0,none,1,6.255100039002359,-6.255100039002359,0,0,0.495157559827242,0
700085,100085,26355,Alpine Consultancy Pvt Ltd,Pvt Ltd Company,PAN026355,126.0,15655,Sunrise Enterprises Pvt Ltd,PAN015655,18442551.0,24728299.0,1.5,47,NBFC Loan,0,1,rapid_flip,1,-34.08285545746898,34.08285545746898,1,1,0.6503119195308918,0
700086,100086,4783,Vertex Holdings LLP,LLP,PAN004783,757.0,33738,Vikram Pillai,PAN033738,41557046.0,36236021.0,3.3,1760,Self-funded,0,0,none,2,12.80414637748795,-12.80414637748795,0,0,0.4879724100533863,0
700087,100087,29781,Kavya Reddy,Individual,PAN029781,,22024,Horizon Ventures LLP,PAN022024,204899237.0,201560749.0,0.6,1585,Bank Loan,0,0,none,1,1.6293315918985096,-1.6293315918985096,0,0,0.386454749382503,0
700088,100088,20226,Meridian Ventures LLP,Partnership Firm,PAN020226,1762.0,6323,Cascade Consultancy LLP,PAN006323,37859221.0,36500284.0,3.5,1856,Self-funded,0,0,none,1,3.5894478652902024,-3.5894478652902024,0,0,0.4415986517621873,0
700089,100089,34012,Alpine Holdings Pvt Ltd,LLP,PAN034012,166.0,34015,Crestline Realty Pvt Ltd,PAN034015,31838808.0,21446694.0,38.6,61,Bank Loan,1,1,circular_ring,16,32.63977093614811,-32.63977093614811,1,1,0.6585410327799375,1
700090,100090,29598,Horizon Holdings LLP,LLP,PAN029598,1383.0,7948,Rohan Verma,PAN007948,152044082.0,149403384.0,1.2,1274,Self-funded,0,0,none,1,1.7367976216266017,-1.7367976216266017,0,0,0.4351246667551825,0
700091,100091,2165,Summit Consultancy Pvt Ltd,LLP,PAN002165,3126.0,33070,Rohan Verma,PAN033070,165529071.0,175017774.0,1.7,1294,Self-funded,0,1,none,1,-5.732348367979423,5.732348367979423,0,0,0.4446455227741058,0
700092,100092,2815,Alpine Realty LLP,Trust,PAN002815,2545.0,6701,Suresh Joshi,PAN006701,25170468.0,24211893.0,4.4,2988,Bank Loan,0,0,none,1,3.808332050083455,-3.808332050083455,0,0,0.4820902654235169,0
700093,100093,18321,Crestline Realty LLP,Pvt Ltd Company,PAN018321,184.0,14582,Summit Realty LLP,PAN014582,95529096.0,96649019.0,1.1,3559,Self-funded,0,0,none,1,-1.1723370647200515,1.1723370647200515,0,1,0.5884278357606321,0
700094,100094,21566,Meera Patel,NRI Individual,PAN021566,1113.0,16261,Arjun Menon,PAN016261,12859168.0,12114295.0,2.4,76,Self-funded,0,0,none,1,5.792544276581502,-5.792544276581502,1,0,0.5490600548168032,0
700095,100095,12060,Amit Joshi,Individual,PAN012060,,30536,Amit Sharma,PAN030536,26234039.0,26181499.0,0.8,3301,Bank Loan,0,0,none,1,0.2002741552682757,-0.2002741552682757,0,0,0.3918879833064666,0
700096,100096,22196,Rahul Menon,Individual,PAN022196,,17271,Neha Verma,PAN017271,18147211.0,16512587.0,3.8,1730,Bank Loan,0,0,none,1,9.0075769769801,-9.0075769769801,0,0,0.39731740108651403,0
700097,100097,13374,Ajay Desai,Individual,PAN013374,,5228,Meridian Enterprises Pvt Ltd,PAN005228,74657408.0,71569894.0,4.5,3402,Bank Loan,0,0,none,1,4.135576204306477,-4.135576204306477,0,0,0.3961404915442258,0
700098,100098,30819,Summit Trading Pvt Ltd,Pvt Ltd Company,PAN030819,173.0,8746,Orbis Consultancy Pvt Ltd,PAN008746,29344267.0,28049429.0,5.6,1080,Self-funded,0,1,shell_entity_buyer,1,4.412575717089815,-4.412575717089815,0,1,0.5799376700001783,0
700099,100099,3520,Vikram Pillai,Individual,PAN003520,,13442,Novus Trading LLP,PAN013442,29503572.0,29618127.0,1.8,3927,Bank Loan,0,0,none,1,-0.3882750197162567,0.3882750197162567,0,0,0.4186681022685038,0
700100,100100,3640,Karan Joshi,Individual,PAN003640,,28781,Orbis Consultancy Pvt Ltd,PAN028781,40806931.0,39465581.0,2.7,693,NBFC Loan,0,0,none,1,3.287064150940437,-3.287064150940437,0,0,0.4146513889474548,0
700101,100101,1059,Ajay Joshi,Individual,PAN001059,,32042,Suresh Singh,PAN032042,20819704.0,20998075.0,2.5,1003,Self-funded,0,0,none,1,-0.8567412870038883,0.8567412870038883,0,0,0.4081507146011448,0
700102,100102,20254,Alpine Enterprises Pvt Ltd,Trust,PAN020254,102.0,2806,Karan Kulkarni,PAN002806,82994445.0,77799538.0,2.5,2103,NBFC Loan,0,0,none,1,6.259343019885247,-6.259343019885247,0,0,0.49747660893774104,0
700103,100103,30948,Rohan Kulkarni,Individual,PAN030948,,30868,Neha Desai,PAN030868,24331193.0,23494676.0,5.3,3631,Bank Loan,0,0,none,1,3.438043502429166,-3.438043502429166,0,0,0.40706899041433414,0
700104,100104,34013,Zenith Realty Pvt Ltd,LLP,PAN034013,170.0,34015,Crestline Realty Pvt Ltd,PAN034015,75697563.0,43037009.0,48.3,53,Bank Loan,1,1,circular_ring,25,43.14611026513496,-43.14611026513496,1,1,0.6791798411124811,1
700105,100105,28559,Sunrise Consultancy LLP,LLP,PAN028559,877.0,29851,Priya Pillai,PAN029851,8773370.0,8532038.0,3.6,1581,NBFC Loan,0,0,none,1,2.750733184625748,-2.750733184625748,0,0,0.42739811107878867,0
700106,100106,5649,Suresh Menon,Individual,PAN005649,,16986,Zenith Ventures LLP,PAN016986,123463270.0,145640565.0,0.4,41,Bank Loan,0,1,rapid_flip,2,-17.962666143542126,17.962666143542126,1,0,0.5649769914121524,0
700107,100107,21106,Neha Menon,Individual,PAN021106,,8146,Amit Pillai,PAN008146,38989054.0,41634447.0,3.7,3382,Bank Loan,0,0,none,2,-6.784963287388301,6.784963287388301,0,0,0.44818242473660985,0
700108,100108,33281,Zenith Holdings Pvt Ltd,Partnership Firm,PAN033281,1153.0,16934,Priya Patel,PAN016934,6751348.0,6358726.0,4.7,61,Bank Loan,0,0,none,1,5.815460853151104,-5.815460853151104,1,0,0.5277060940065559,0
700109,100109,19068,Amit Singh,Individual,PAN019068,,16374,Novus Infra LLP,PAN016374,22564334.0,22258432.0,31.3,756,Bank Loan,0,1,high_cash,2,1.355688140407778,-1.355688140407778,0,0,0.5513873017433613,0
700110,100110,31361,Ajay Joshi,Individual,PAN031361,,23547,Vikram Rao,PAN023547,32907969.0,32402337.0,0.0,1466,Self-funded,0,0,none,1,1.5365032099063909,-1.5365032099063909,0,0,0.4215212112701283,0
700111,100111,7332,Sunrise Ventures Pvt Ltd,Partnership Firm,PAN007332,1954.0,19244,Karan Kulkarni,PAN019244,11877794.0,11732328.0,3.2,1139,Self-funded,0,0,none,1,1.22468869219318,-1.22468869219318,0,0,0.44244921711178525,0
700112,100112,28677,Rahul Menon,Individual,PAN028677,,30217,Ajay Joshi,PAN030217,49692094.0,45719838.0,3.4,3857,Bank Loan,0,0,none,1,7.993738400317765,-7.993738400317765,0,0,0.4336038174009354,0
700113,100113,32846,Meridian Ventures LLP,Pvt Ltd Company,PAN032846,732.0,24278,Divya Pillai,PAN024278,11380933.0,11685601.0,3.2,3355,NBFC Loan,0,0,none,2,-2.67700372192684,2.67700372192684,0,0,0.48196730237090896,0
700114,100114,31248,Horizon Realty Pvt Ltd,Partnership Firm,PAN031248,3802.0,14071,Neha Reddy,PAN014071,23498737.0,23603809.0,2.0,819,Bank Loan,0,0,none,1,-0.4471389249558391,0.4471389249558391,0,0,0.42207690310196566,0
