property_id,city,locality,pincode,city_tier,tier,property_type,metro_distance_km,bhk,carpet_area_sqft,age_years,builder,builder_score,builder_tier,rera_registered,rera_number,num_amenities,amenities,circle_rate_per_sqft,price_per_sqft,total_price,asking_price_per_sqft,asking_total_price,stamp_duty_pct,stamp_duty_amt,registration_charge_amt,monthly_rent_est,monthly_rent_asking,rental_yield_pct,vastu_compliant,gated_community,rentable,sale_listing_id,sale_ask_value,sale_fair_value,sale_price_deviation_pct,broker_phone,broker_listing_count,description_reuse_count,days_on_market,num_images,sale_is_fraud,sale_fraud_type,rent_listing_id,rent_ask_value,rent_fair_value,rent_price_deviation_pct,rent_broker_phone,rent_broker_listing_count,rent_description_reuse_count,rent_days_on_market,rent_num_images,rent_is_fraud,rent_fraud_type,avg_rental_yield_pct,avg_yoy_appreciation_pct,stability_score,yield_norm,appreciation_norm,stability_norm,buyer_name,buyer_type,buyer_pan_hash,seller_name,declared_value,cash_component_pct,holding_period_days,undervaluation_pct,is_rapid_flip,is_shell_pattern,buyer_txn_count,financing_type,aml_flag,pattern_types,is_ring_txn,sale_fraud_probability,rent_fraud_probability,fraud_probability,fraud_type,aml_risk_probability,price_fairness_score,trust_score,compliance_score,investment_score,prism_score_raw,prism_score,prism_band,rent_price_fairness_score,rent_trust_score,rent_prism_score,rent_prism_band
100011,Mumbai,Bandra West,400050,Tier1,premium,Row House,0.42,2,1861.7,19,Godrej Properties,0.93,Tier1,1,PMHA56696,1,Children's Play Area,40471.0,59995.0,111689815.0,59045.0,109921765.0,0.06,6701389.0,30000.0,180708.0,180119.0,1.94,0,0,1,500019,113273142.0,111689815.0,1.42,+91-9860578620,26,1,96,9,0,none,500020.0,180108.0,180708.0,-0.33,+91-9118967818,37.0,1.0,20.0,10.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Neha Menon,Individual,PAN030578,Arjun Patel,123526838.0,0.7,3568,-10.598122129578243,0,0,1,Self-funded,0,none,0,0.052282766,0.050907738506793976,0.052282766,none,0.04780154,0.929,0.9506596947669983,0.95219845,0.1501343729667142,0.7442612774820198,747,Good,0.9835,0.9518284222692251,757.0,Excellent
100012,Mumbai,Bandra West,400050,Tier1,premium,Studio/1RK,0.81,1,405.5,7,Local Developer Co,0.55,Tier3,0,,4,"24/7 Security, Lift, Landscaped Garden, Children's Play Area",29719.0,37908.0,15370947.0,39618.0,16064349.0,0.06,922257.0,30000.0,18612.0,17904.0,1.45,0,0,1,500021,15999168.0,15370947.0,4.09,+91-9905922775,39,1,20,6,0,none,500022.0,18591.0,18612.0,-0.11,+91-9980873094,37.0,2.0,89.0,4.0,1.0,duplicate_listing,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Horizon Holdings LLP,Pvt Ltd Company,PAN020065,Karan Joshi,15639398.0,0.6,2514,-1.7464831542259565,0,0,2,Bank Loan,0,none,0,0.06052761,0.9473350048065186,0.06052761,none,0.14561127,0.7955,0.8370515594482422,0.8543887,0.1501343729667142,0.6554573770923484,693,Good,0.9945,0.08326524591445923,593.0,Fair
100013,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.63,2,1179.7,7,Sobha Ltd,0.91,Tier1,1,PMHA55569,12,"Lift, Gymnasium, 24/7 Security, Children's Play Area, Visitor Parking, Clubhouse, Power Backup, Indoor Games Room, Landscaped Garden, Jogging Track, Swimming Pool, CCTV",37487.0,56932.0,67164291.0,63122.0,74466477.0,0.06,4029857.0,30000.0,80353.0,83385.0,1.44,0,1,1,500023,33660977.0,67164291.0,-49.88,+91-9616955272,38,1,134,4,1,price_manipulation,500024.0,32911.0,80353.0,-59.04,+91-9921357205,42.0,1.0,16.0,7.0,1.0,price_manipulation,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Crestline Enterprises Pvt Ltd,Pvt Ltd Company,PAN026170,Crestline Realty LLP,70230126.0,2.7,1276,-4.564680061909684,0,0,2,Bank Loan,0,none,0,0.99711835,0.993607759475708,0.99711835,price_manipulation,0.061847333,0.0,0.14614939932599663,0.9381527,0.1501343729667142,0.2221013136685211,433,Needs Review,0.0,0.1491334044456482,434.0,Needs Review
100014,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.47,3,771.0,8,Regional Builders Ltd,0.5,Tier3,1,PMHA24937,8,"Jogging Track, Children's Play Area, Power Backup, 24/7 Security, CCTV, Lift, Clubhouse, Landscaped Garden",29965.0,35948.0,27716383.0,39549.0,30492479.0,0.06,1662983.0,30000.0,49328.0,50204.0,2.14,1,1,1,500025,29970829.0,27716383.0,8.13,+91-9871802689,27,1,153,5,0,none,500026.0,50651.0,49328.0,2.68,+91-9954846640,44.0,1.0,48.0,11.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Rohan Iyer,NRI Individual,PAN032247,Divya Singh,26970346.0,3.9,419,2.691682388715728,0,0,1,Bank Loan,0,none,0,0.030346062,0.08083691447973251,0.030346062,none,0.15756981,0.5934999999999999,0.9392058753967285,0.8424302,0.1501343729667142,0.6237098849935401,674,Good,0.866,0.8962886226922273,716.0,Good
100015,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.67,1,1114.7,8,DLF Ltd,0.92,Tier1,1,PMHA57790,5,"CCTV, Visitor Parking, Gymnasium, Landscaped Garden, Indoor Games Room",40145.0,59004.0,65772058.0,59980.0,66860599.0,0.06,3946323.0,30000.0,78350.0,85318.0,1.43,0,0,1,500027,67533913.0,65772058.0,2.68,+91-9592871678,37,1,46,3,0,none,500028.0,86311.0,78350.0,10.16,+91-9626520521,36.0,1.0,87.0,10.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Crestline Consultancy LLP,Pvt Ltd Company,PAN009337,Arjun Menon,68939092.0,0.5,491,-4.815166343130088,0,0,1,Bank Loan,0,none,0,0.038280196,0.054196786135435104,0.038280196,none,0.07476074,0.866,0.9618618482589721,0.92523926,0.1501343729667142,0.7246780464048256,735,Good,0.492,0.9483327317848801,665.0,Good
100016,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.49,1,1111.6,12,Godrej Properties,0.93,Tier1,1,PMHA58625,3,"Gymnasium, Clubhouse, Lift",30151.0,38715.0,43035408.0,39401.0,43797077.0,0.06,2582124.0,30000.0,54342.0,58826.0,1.52,0,0,1,500029,43665739.0,43035408.0,1.46,+91-9717419131,37,1,142,2,0,none,500030.0,62810.0,54342.0,15.58,+91-9668759251,30.0,1.0,42.0,10.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Rohan Nair,Individual,PAN008430,Karan Desai,57473474.0,2.3,19,-33.54927179963067,1,0,1,Bank Loan,1,rapid_flip,0,0.02652835,0.14461815357208252,0.02652835,none,0.99227893,0.927,0.9725509310722351,0.0077210665,0.1501343729667142,0.6085570326044355,665,Good,0.22099999999999997,0.8721745694637298,520.0,Needs Review
100017,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.67,2,646.6,2,Puravankara,0.8,Tier2,1,PMHA30526,5,"Jogging Track, CCTV, Visitor Parking, Children's Play Area, 24/7 Security",30541.0,42054.0,27191444.0,46626.0,30147869.0,0.06,1631487.0,30000.0,22660.0,24429.0,1.0,1,0,1,500031,30041270.0,27191444.0,10.48,+91-9313286356,35,1,150,11,0,none,,,,,,,,,,,,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Ajay Kulkarni,Individual,PAN007730,Rahul Menon,27041110.0,0.5,2361,0.5528724403161523,0,0,1,Bank Loan,1,none,0,0.094908796,,0.094908796,none,0.068012126,0.476,0.9053275809288025,0.9319879,0.1501343729667142,0.5917300616903175,655,Good,,,,
100018,Mumbai,Bandra West,400050,Tier1,premium,Studio/1RK,0.59,1,333.4,11,Local Developer Co,0.55,Tier3,1,PMHA65464,10,"Visitor Parking, Jogging Track, Landscaped Garden, Gymnasium, 24/7 Security, Clubhouse, Power Backup, Lift, Children's Play Area, CCTV",39228.0,60072.0,20026665.0,61581.0,20529870.0,0.06,1201600.0,30000.0,29178.0,29349.0,1.75,1,1,1,500032,20966192.0,20026665.0,4.69,+91-9814425134,34,1,31,3,0,none,500033.0,29050.0,29178.0,-0.44,+91-9709846013,27.0,1.0,76.0,11.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Vertex Realty Pvt Ltd,Pvt Ltd Company,PAN011561,Pinnacle Ventures Pvt Ltd,21199212.0,3.3,1435,-5.854928916022713,0,0,1,Self-funded,0,none,0,0.05183618,0.03822001442313194,0.05183618,none,0.116772376,0.7655,0.9244392571449279,0.88322765,0.1501343729667142,0.6769995232982505,706,Good,0.978,0.9360129877403378,747.0,Good
100019,Mumbai,Bandra West,400050,Tier1,premium,Plot/Land,0.67,0,2816.0,0,Individual/Land Owner,0.6,Tier3,0,,0,,32156.0,26057.0,73376891.0,26559.0,74789703.0,0.06,4402613.0,30000.0,0.0,0.0,0.0,1,0,0,500034,74503654.0,73376891.0,1.54,+91-9956320743,29,1,173,6,0,none,,,,,,,,,,,,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Divya Joshi,Individual,PAN005629,Novus Infra LLP,73353890.0,3.0,1976,0.0313463812469241,0,0,1,Bank Loan,0,none,0,0.033288017,,0.033288017,none,0.08665569,0.923,0.8637052221298218,0.9133443,0.1501343729667142,0.7105468084258902,726,Good,,,,
100020,Mumbai,Bandra West,400050,Tier1,premium,Studio/1RK,0.7,1,266.9,13,DLF Ltd,0.92,Tier1,1,PMHA57944,10,"Power Backup, Jogging Track, CCTV, Swimming Pool, Lift, 24/7 Security, Visitor Parking, Clubhouse, Indoor Games Room, Landscaped Garden",37136.0,57134.0,15248920.0,63637.0,16984736.0,0.06,914935.0,30000.0,17168.0,17908.0,1.35,1,1,1,500035,17044296.0,15248920.0,11.77,+91-9281979223,34,1,83,11,0,none,,,,,,,,,,,,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Priya Iyer,Individual,PAN001912,Orbis Consultancy LLP,15122706.0,8.4,885,0.827691403719083,0,0,1,Bank Loan,0,none,0,0.054637674,,0.054637674,none,0.08536418,0.4115,0.9479579919815063,0.91463584,0.1501343729667142,0.5825663693780768,650,Good,,,,
100021,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.29,2,1093.8,11,Regional Builders Ltd,0.5,Tier3,1,PMHA14513,3,"Power Backup, Gymnasium, 24/7 Security",41244.0,47561.0,52023006.0,51584.0,56423555.0,0.06,3121380.0,30000.0,70187.0,72216.0,1.62,1,0,1,500036,55054288.0,52023006.0,5.83,+91-9197404522,38,1,124,5,0,none,500037.0,73512.0,70187.0,4.74,+91-9135087256,22.0,1.0,48.0,9.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Amit Patel,Individual,PAN031551,Cascade Enterprises LLP,53898417.0,0.0,2371,-3.604964695811695,0,0,1,NBFC Loan,0,none,0,0.0590683,0.02043890953063965,0.0590683,none,0.044214144,0.7085,0.9147919321060181,0.9557859,0.1501343729667142,0.6678890594167579,701,Good,0.763,0.9476269268989562,716.0,Good
100022,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.58,3,1187.7,18,Oberoi Realty,0.9,Tier1,1,PMHA74909,3,"Jogging Track, Visitor Parking, Lift",29676.0,36476.0,43320998.0,39553.0,46976416.0,0.06,2599260.0,30000.0,56957.0,57583.0,1.58,0,0,1,500038,45918078.0,43320998.0,5.99,+91-9519256030,34,1,172,11,0,none,500039.0,54696.0,56957.0,-3.97,+91-9918261381,26.0,1.0,86.0,2.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Crestline Realty Pvt Ltd,Partnership Firm,PAN022823,Rahul Sharma,42323777.0,2.7,2549,2.3019345029862888,0,0,1,Bank Loan,0,none,0,0.045966942,0.01988048478960991,0.045966942,none,0.040467586,0.7005,0.9539281659126282,0.95953244,0.1501343729667142,0.6777919119520057,707,Good,0.8015,0.9761015879288316,729.0,Good
100023,Mumbai,Bandra West,400050,Tier1,premium,Plot/Land,0.49,0,1763.4,0,Individual/Land Owner,0.6,Tier3,0,,0,,30069.0,22284.0,39294693.0,24054.0,42416769.0,0.06,2357682.0,30000.0,0.0,0.0,0.0,1,0,0,500040,43326378.0,39294693.0,10.26,+91-9389946978,34,1,8,13,0,none,,,,,,,,,,,,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Ajay Kulkarni,Individual,PAN014011,Meridian Ventures Pvt Ltd,39135198.0,1.3,1035,0.4058945059069427,0,0,1,Mixed,0,none,0,0.07136032,,0.07136032,none,0.15009683,0.487,0.8313437147140503,0.84990317,0.1501343729667142,0.560522191540705,636,Fair,,,,
100024,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.41,3,665.8,11,Brigade Group,0.88,Tier1,1,PMHA22593,6,"Landscaped Garden, CCTV, Indoor Games Room, Lift, Jogging Track, Clubhouse",38924.0,50850.0,33857368.0,49419.0,32904127.0,0.06,2031442.0,30000.0,52944.0,56945.0,1.88,1,1,1,500041,32871539.0,33857368.0,-2.91,+91-9631261883,33,1,142,9,0,none,500042.0,54742.0,52944.0,3.4,+91-9843543543,27.0,77.0,41.0,10.0,1.0,recycled_description,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Suresh Menon,Individual,PAN000142,Pooja Sharma,32980966.0,2.8,3284,2.5885119008660094,0,0,1,Bank Loan,0,none,0,0.042758584,0.995441198348999,0.042758584,none,0.07750688,0.8545,0.9552551976203918,0.9224931,0.1501343729667142,0.7188341235132087,731,Good,0.8300000000000001,0.14547498140335083,581.0,Fair
100025,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.54,3,577.5,22,Kolte-Patil,0.82,Tier2,1,PMHA56399,12,"Visitor Parking, Jogging Track, CCTV, Gymnasium, Power Backup, Children's Play Area, Indoor Games Room, Lift, 24/7 Security, Swimming Pool, Clubhouse, Landscaped Garden",34192.0,44646.0,25785164.0,44264.0,25564785.0,0.06,1547110.0,30000.0,33447.0,33037.0,1.56,1,1,1,500043,25232465.0,25785164.0,-2.14,+91-9265500456,31,1,28,8,0,none,,,,,,,,,,,,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Vikram Desai,Individual,PAN025420,Sneha Kulkarni,25493804.0,4.0,1716,1.1299520918307908,0,0,1,Self-funded,0,none,0,0.03602661,,0.03602661,none,0.13397291,0.893,0.9567774223327636,0.8660271,0.1501343729667142,0.7223708963985312,733,Good,,,,
100026,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.51,2,668.7,5,Godrej Properties,0.93,Tier1,1,PMHA14649,11,"Children's Play Area, Swimming Pool, Clubhouse, Jogging Track, Visitor Parking, 24/7 Security, Power Backup, Lift, Gymnasium, Landscaped Garden, CCTV",28506.0,43482.0,29075327.0,47038.0,31453055.0,0.06,1744520.0,30000.0,36986.0,39914.0,1.53,1,1,1,500044,30962488.0,29075327.0,6.49,+91-9677414533,33,1,73,3,0,none,500045.0,40636.0,36986.0,9.87,+91-9987787377,28.0,1.0,7.0,9.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Rahul Singh,Individual,PAN021607,Amit Joshi,28199927.0,1.4,3790,3.0108001880769906,0,0,1,Self-funded,0,none,0,0.042868264,0.03855905309319496,0.042868264,none,0.03240969,0.6755,0.9586619759559631,0.96759033,0.1501343729667142,0.6729207477540841,704,Good,0.5065000000000001,0.9623248048707843,674.0,Good
100027,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.65,2,724.4,2,Godrej Properties,0.93,Tier1,1,PMHA73890,8,"Lift, Indoor Games Room, Landscaped Garden, Clubhouse, Power Backup, CCTV, 24/7 Security, Jogging Track",30703.0,43141.0,31249240.0,44814.0,32461213.0,0.06,1874954.0,30000.0,42265.0,44340.0,1.62,0,1,1,500046,32494944.0,31249240.0,3.99,+91-9554093432,29,1,69,6,0,none,,,,,,,,,,,,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Orbis Trading LLP,LLP,PAN029215,Sneha Patel,29422489.0,0.0,3189,5.845745368527363,0,0,1,Bank Loan,0,none,0,0.042142387,,0.042142387,none,0.030122843,0.8005,0.959279003238678,0.9698772,0.1501343729667142,0.7109488806695808,727,Good,,,,
